127.0.0.1 - - [08/Jun/2017:11:50:26 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:50:27 +0200] "GET /WholesalerWebDemo/ HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:50:45 +0200] "GET /WholesalerWebDemo/controllerservlet;jsessionid=EBF660FF9238E7FB36ECF9DD4FC4B72C?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:50:45 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:50:48 +0200] "GET /WholesalerWebDemo/import.jsp HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:50:51 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 3635
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:51:41 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:51:41 +0200] "GET /WholesalerWebDemo/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:51:41 +0200] "GET /WholesalerWebDemo/images/buttons/import.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:51:41 +0200] "GET /WholesalerWebDemo/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:51:41 +0200] "GET /WholesalerWebDemo/images/buttons/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:51:41 +0200] "GET /WholesalerWebDemo/images/buttons/catalog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:51:41 +0200] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:51:41 +0200] "GET /WholesalerWebDemo/images/buttons/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:51:41 +0200] "GET /WholesalerWebDemo/images/buttons/export.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:06 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:06 +0200] "GET /WholesalerWebDemo/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:06 +0200] "GET /WholesalerWebDemo/images/buttons/import.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:06 +0200] "GET /WholesalerWebDemo/images/buttons/export.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:06 +0200] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:06 +0200] "GET /WholesalerWebDemo/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:06 +0200] "GET /WholesalerWebDemo/images/buttons/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:06 +0200] "GET /WholesalerWebDemo/images/buttons/catalog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:06 +0200] "GET /WholesalerWebDemo/images/buttons/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:18 +0200] "POST /WholesalerWebDemo/controllerservlet?action=export&view=BMECAT HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2017:11:52:18 +0200] "GET /WholesalerWebDemo/catalog_export100000000.XML HTTP/1.1" 200 11370
