127.0.0.1 - - [30/May/2017:09:43:02 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/May/2017:09:43:03 +0200] "GET /WholesalerWebDemo/ HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [30/May/2017:09:44:22 +0200] "GET /WholesalerWebDemo/controllerservlet;jsessionid=9216B7404205A50859EAEF4CB3BE313D?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:44:22 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [30/May/2017:09:55:05 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [30/May/2017:09:55:07 +0200] "GET /WholesalerWebDemo/controllerservlet?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:55:07 +0200] "GET /WholesalerWebDemo/logout.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [30/May/2017:09:55:08 +0200] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [30/May/2017:09:55:15 +0200] "GET /WholesalerWebDemo/controllerservlet?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:55:15 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [30/May/2017:09:55:20 +0200] "GET /WholesalerWebDemo/import.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [30/May/2017:09:55:22 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [30/May/2017:09:58:51 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [30/May/2017:09:58:51 +0200] "GET /WholesalerWebDemo/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:58:51 +0200] "GET /WholesalerWebDemo/images/buttons/import.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:58:51 +0200] "GET /WholesalerWebDemo/images/buttons/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:58:51 +0200] "GET /WholesalerWebDemo/images/buttons/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:58:51 +0200] "GET /WholesalerWebDemo/images/buttons/export.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:58:51 +0200] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:58:51 +0200] "GET /WholesalerWebDemo/images/buttons/catalog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:59:29 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [30/May/2017:09:59:29 +0200] "GET /WholesalerWebDemo/images/buttons/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:59:29 +0200] "GET /WholesalerWebDemo/images/buttons/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:59:29 +0200] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:59:29 +0200] "GET /WholesalerWebDemo/images/buttons/catalog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:59:29 +0200] "GET /WholesalerWebDemo/images/buttons/import.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:59:29 +0200] "GET /WholesalerWebDemo/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:59:29 +0200] "GET /WholesalerWebDemo/images/buttons/export.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:09:59:33 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [30/May/2017:10:00:40 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [30/May/2017:10:00:40 +0200] "GET /WholesalerWebDemo/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:10:00:40 +0200] "GET /WholesalerWebDemo/images/buttons/export.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:10:00:40 +0200] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:10:00:40 +0200] "GET /WholesalerWebDemo/images/buttons/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:10:00:40 +0200] "GET /WholesalerWebDemo/images/buttons/import.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:10:00:40 +0200] "GET /WholesalerWebDemo/images/buttons/catalog.png HTTP/1.1" 304 -
